year,temperature_K_mean,temperature_K_min,temperature_K_max,temperature_C_mean,temperature_C_min,temperature_C_max,precipitation_sum,precipitation_mean,wind_speed_mean,wind_speed_max,deaths,injuries,affected,disaster_count,Drought,Flood,Heatwave,Storm,population,population_growth,urban_pct,gdp,gdp_growth,heatwave_days,high_precip_days
2009,290.108,283.48,294.94,16.958,10.33,21.79,0.755,0.0,8.461,21.135,156.0,450.0,50000.0,1.0,0.0,0.0,1.0,0,51728516,1.201059994621101,62.2592839131287,329754060647.129,4.309223355654979,0.0,1175
2010,289.546,282.93,295.75,16.396,9.78,22.6,0.596,0.0,7.849,19.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52344051,1.1899336141790728,62.6299120560569,417363822801.713,26.568213286791178,0.0,837
2011,289.739,283.32,294.97,16.589,10.17,21.82,0.524,0.0,8.06,19.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52995205,1.2439885480013846,62.850627754452,458199494830.834,9.784190626536816,0.0,910
2012,289.81,282.14,295.52,16.66,8.99,22.37,0.568,0.0,8.208,20.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53782567,1.4857230951366152,62.9616560303263,434400545085.811,-5.194014837098305,0.0,901
2013,289.976,281.99,295.84,16.826,8.84,22.69,0.571,0.0,8.197,23.864,210.0,0.0,1200000.0,1.0,1.0,0.0,0.0,0,54678791,1.6663838302846345,63.0524024097034,400886013595.573,-7.715121877579034,0.0,919
2014,290.017,281.9,295.44,16.867,8.75,22.29,0.57,0.0,7.878,20.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55594838,1.6753241672808672,63.1352327065742,381198869776.106,-4.910908126450131,0.0,902
2015,289.836,282.87,296.15,16.686,9.72,23.0,0.447,0.0,7.605,20.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,56723537,2.030222662039227,63.2096349937231,346709790458.563,-9.047529269381071,0.0,664
2016,290.14,282.42,296.61,16.99,9.27,23.46,0.575,0.0,7.814,22.974,123.0,456.0,145000.0,1.0,0.0,1.0,0.0,0,57259551,0.9449587038269591,63.2750973439347,323585509674.481,-6.669635937738438,0.0,937
2017,289.865,282.71,296.62,16.715,9.56,23.47,0.453,0.0,8.208,24.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57635162,0.6559796460855916,63.3311078299936,381448814653.456,17.88192092939638,0.0,691
2018,289.955,281.16,295.07,16.805,8.01,21.92,0.549,0.0,7.62,24.873,56.0,289.0,95000.0,1.0,0.0,1.0,0.0,0,58613001,1.6966014600600987,63.3771545246841,405260723892.517,6.242491344662859,0.0,964
